x,U_0,U_1,U_2
0,0,0,0
0.010101,-0.000148982,0.0270717,0
0.020202,-0.000616502,0.0497931,0
0.030303,-0.00142265,0.0686479,0
0.040404,-0.00256565,0.084129,0
0.0505051,-0.00403554,0.0967445,0
0.0606061,-0.00580798,0.106996,0
0.0707071,-0.00785665,0.115373,0
0.0808081,-0.0101507,0.122337,0
0.0909091,-0.0126634,0.128315,0
0.10101,-0.0153697,0.133691,0
0.111111,-0.0182509,0.138806,0
0.121212,-0.0212921,0.143957,0
0.131313,-0.0244842,0.149394,0
0.141414,-0.0278202,0.15532,0
0.151515,-0.0312961,0.161885,0
0.161616,-0.0349076,0.169188,0
0.171717,-0.0386492,0.177265,0
0.181818,-0.0425121,0.186093,0
0.191919,-0.0464833,0.195585,0
0.20202,-0.0505439,0.205592,0
0.212121,-0.0546689,0.215907,0
0.222222,-0.0588271,0.226275,0
0.232323,-0.0629813,0.236408,0
0.242424,-0.0670899,0.245993,0
0.252525,-0.0711085,0.254718,0
0.262626,-0.0749921,0.262282,0
0.272727,-0.0786979,0.268417,0
0.282828,-0.0821879,0.272904,0
0.292929,-0.0854319,0.27558,0
0.30303,-0.0884092,0.276356,0
0.313131,-0.0911109,0.275213,0
0.323232,-0.0935403,0.272205,0
0.333333,-0.0957128,0.267451,0
0.343434,-0.0976547,0.261125,0
0.353535,-0.0994017,0.253436,0
0.363636,-0.100996,0.244617,0
0.373737,-0.102483,0.234906,0
0.383838,-0.103908,0.224526,0
0.393939,-0.105314,0.213674,0
0.40404,-0.106736,0.202515,0
0.414141,-0.108205,0.191169,0
0.424242,-0.109741,0.179718,0
0.434343,-0.111354,0.168203,0
0.444444,-0.113046,0.156636,0
0.454545,-0.114813,0.145,0
0.464646,-0.116641,0.133266,0
0.474747,-0.118514,0.121395,0
0.484848,-0.120409,0.109347,0
0.494949,-0.122305,0.0970881,0
0.505051,-0.124179,0.0845921,0
0.515152,-0.126008,0.0718452,0
0.525253,-0.127771,0.0588457,0
0.535354,-0.12945,0.0456037,0
0.545455,-0.131028,0.0321408,0
0.555556,-0.132491,0.0184875,0
0.565657,-0.133828,0.00468227,0
0.575758,-0.135027,-0.00923078,0
0.585859,-0.136081,-0.0232033,0
0.59596,-0.136981,-0.0371842,0
0.606061,-0.137722,-0.0511206,0
0.616162,-0.138296,-0.0649589,0
0.626263,-0.1387,-0.078645,0
0.636364,-0.138928,-0.0921253,0
0.646465,-0.138975,-0.105347,0
0.656566,-0.13884,-0.118257,0
0.666667,-0.138523,-0.130809,0
0.676768,-0.138026,-0.142955,0
0.686869,-0.137358,-0.15466,0
0.69697,-0.136536,-0.165893,0
0.707071,-0.135583,-0.176644,0
0.717172,-0.13454,-0.186921,0
0.727273,-0.13346,-0.196763,0
0.737374,-0.132415,-0.206249,0
0.747475,-0.131499,-0.215507,0
0.757576,-0.130826,-0.224725,0
0.767677,-0.130528,-0.234155,0
0.777778,-0.13075,-0.244121,0
0.787879,-0.131634,-0.255002,0
0.79798,-0.133301,-0.267211,0
0.808081,-0.135828,-0.281152,0
0.818182,-0.139204,-0.297148,0
0.828283,-0.143307,-0.315349,0
0.838384,-0.147855,-0.33562,0
0.848485,-0.152393,-0.357416,0
0.858586,-0.156276,-0.379677,0
0.868687,-0.1587,-0.400743,0
0.878788,-0.158752,-0.418368,0
0.888889,-0.155536,-0.429825,0
0.89899,-0.148298,-0.432187,0
0.909091,-0.136648,-0.422771,0
0.919192,-0.120702,-0.399751,0
0.929293,-0.101254,-0.362771,0
0.939394,-0.0797175,-0.313429,0
0.949495,-0.0579927,-0.255264,0
0.959596,-0.0380257,-0.193223,0
0.969697,-0.021499,-0.132627,0
0.979798,-0.00943975,-0.0781908,0
0.989899,-0.00231378,-0.033323,0
1,-4.48341e-16,-6.56999e-15,0
