y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.0184699,3.73766e-05,0
0.020202,-0.0357372,6.12534e-05,0
0.030303,-0.0522886,2.16072e-05,0
0.040404,-0.0685573,-9.82599e-05,0
0.0505051,-0.0849459,-0.000279021,0
0.0606061,-0.101792,-0.000475199,0
0.0707071,-0.119362,-0.000621875,0
0.0808081,-0.137816,-0.000646389,0
0.0909091,-0.157199,-0.000477506,0
0.10101,-0.17742,-5.4254e-05,0
0.111111,-0.198261,0.000668338,0
0.121212,-0.219381,0.00171605,0
0.131313,-0.240342,0.00309439,0
0.141414,-0.260635,0.00478935,0
0.151515,-0.279714,0.00676848,0
0.161616,-0.297031,0.00898299,0
0.171717,-0.312079,0.0113698,0
0.181818,-0.324424,0.0138553,0
0.191919,-0.333747,0.0163596,0
0.20202,-0.339867,0.0188021,0
0.212121,-0.342754,0.0211081,0
0.222222,-0.342533,0.0232148,0
0.232323,-0.339469,0.0250764,0
0.242424,-0.333934,0.026667,0
0.252525,-0.326373,0.027982,0
0.262626,-0.317264,0.0290369,0
0.272727,-0.307074,0.0298635,0
0.282828,-0.29623,0.0305057,0
0.292929,-0.285097,0.0310143,0
0.30303,-0.27396,0.0314418,0
0.313131,-0.263023,0.0318383,0
0.323232,-0.252413,0.0322478,0
0.333333,-0.242187,0.032706,0
0.343434,-0.23235,0.0332396,0
0.353535,-0.222865,0.0338659,0
0.363636,-0.213666,0.0345937,0
0.373737,-0.204674,0.0354244,0
0.383838,-0.195805,0.0363534,0
0.393939,-0.186978,0.0373719,0
0.40404,-0.178118,0.0384683,0
0.414141,-0.169163,0.0396293,0
0.424242,-0.160064,0.0408413,0
0.434343,-0.150785,0.0420912,0
0.444444,-0.141298,0.0433666,0
0.454545,-0.131591,0.0446563,0
0.464646,-0.121656,0.0459506,0
0.474747,-0.111496,0.0472411,0
0.484848,-0.101116,0.0485207,0
0.494949,-0.0905272,0.0497834,0
0.505051,-0.0797441,0.051024,0
0.515152,-0.0687826,0.0522381,0
0.525253,-0.0576601,0.0534216,0
0.535354,-0.0463953,0.0545712,0
0.545455,-0.0350073,0.0556835,0
0.555556,-0.0235153,0.0567556,0
0.565657,-0.0119384,0.0577844,0
0.575758,-0.00029538,0.0587673,0
0.585859,0.0113958,0.0597017,0
0.59596,0.0231183,0.0605853,0
0.606061,0.0348567,0.0614159,0
0.616162,0.0465974,0.0621917,0
0.626263,0.0583291,0.0629114,0
0.636364,0.070043,0.0635737,0
0.646465,0.081733,0.0641781,0
0.656566,0.093396,0.0647243,0
0.666667,0.105032,0.0652122,0
0.676768,0.116642,0.0656419,0
0.686869,0.128231,0.0660137,0
0.69697,0.139802,0.0663274,0
0.707071,0.151361,0.0665824,0
0.717172,0.162907,0.066777,0
0.727273,0.174439,0.0669086,0
0.737374,0.185947,0.0669728,0
0.747475,0.197415,0.0669637,0
0.757576,0.208814,0.0668726,0
0.767677,0.220105,0.0666894,0
0.777778,0.231236,0.066401,0
0.787879,0.24214,0.0659928,0
0.79798,0.25274,0.0654477,0
0.808081,0.262945,0.0647484,0
0.818182,0.272659,0.063875,0
0.828283,0.281778,0.0628105,0
0.838384,0.290199,0.0615352,0
0.848485,0.297826,0.060035,0
0.858586,0.304574,0.058293,0
0.868687,0.310383,0.0562995,0
0.878788,0.315241,0.0540376,0
0.888889,0.319241,0.0514935,0
0.89899,0.322683,0.0486286,0
0.909091,0.326299,0.0453891,0
0.919192,0.331607,0.0416646,0
0.929293,0.341419,0.0373208,0
0.939394,0.360367,0.0321889,0
0.949495,0.395156,0.0261964,0
0.959596,0.454013,0.0194419,0
0.969697,0.544818,0.0124185,0
0.979798,0.671491,0.0060134,0
0.989899,0.829144,0.0015111,0
1,1,2.93059e-16,0
